,model,link,price,depreciation,reg_date,mileage,road_tax,coe,eng_cap,curb_weight,manufactured,transmission,omv,power,num_owners,type,category
433,Volkswagen Polo GP 1.2A TSI Sunroof,info.php?ID=952837&DL=2163,"$59,800 ","                                $7,870 /yrView models with similar depre ",28-Feb-2018(7yrs 2mths 11days COE left)                            ,"                                        23,000 km (8.2k /yr)                                     ",                                    	$508 /yr,"$40,000","1,197 cc                                    ","                                    1,139 kg                                    ",2017,Auto,"$16,276",66.0 kW (88 bhp),1,Hatchback,"Category
PARF Car, Low Mileage Car "
434,Toyota Camry 2.4A G (COE till 09/2024),info.php?ID=952825&DL=3382,"$28,998 ","                                $7,740 /yr                            ",15-Sep-2009(3yrs 8mths 29days COE left)                            ,"                                        145,912 km (13k /yr)                                     ","                                    	$1,966 /yr","$18,971","2,362 cc                                    ","                                    1,540 kg                                    ",2009,Auto,"$29,264",123.0 kW (164 bhp),2,Luxury Sedan,"Category
COE Car "
435,Honda Stream 1.8A RSZ Sunroof (COE till 03/2023),info.php?ID=952554&DL=3197,"$19,800 ","                                $8,660 /yr                            ",01-Apr-2008(2yrs 3mths 15days COE left)                            ,                                        N.A.                                     ,"                                    	$1,271 /yr","$22,499","1,799 cc                                    ","                                    1,390 kg                                    ",2008,Auto,"$20,808",103.0 kW (138 bhp),4,MPV,"Category
COE Car "
436,Nissan Pulsar 1.2A DIG-T Premium,info.php?ID=945095&DL=1418,"$60,800 ","                                $8,420 /yrView models with similar depre ",25-Sep-2017(6yrs 9mths 8days COE left)                            ,"                                        22,000 km (6.8k /yr)                                     ",                                    	$508 /yr,"$36,001","1,197 cc                                    ","                                    1,265 kg                                    ",2017,Auto,"$17,527",85.0 kW (113 bhp),1,Hatchback,"Category
PARF Car, Low Mileage Car "
437,Nissan Latio 1.5A Premium (COE till 10/2029),info.php?ID=952836&DL=2163,"$38,800 ","                                $4,370 /yr                            ",30-Nov-2009(8yrs 10mths 15days COE left)                            ,"                                        168,000 km (15.2k /yr)                                     ",                                    	$752 /yr,"$30,574","1,498 cc                                    ","                                    1,110 kg                                    ",2009,Auto,"$17,643",80.0 kW (107 bhp),4,Mid-Sized Sedan,"Category
COE Car "
438,Hyundai i30 1.6A Sunroof (COE till 03/2024),info.php?ID=952823&DL=3382,"$21,998 ","                                $6,690 /yr                            ",31-Mar-2009(3yrs 3mths 14days COE left)                            ,"                                        132,825 km (11.3k /yr)                                     ",                                    	$886 /yr,"$12,763","1,591 cc                                    ","                                    1,314 kg                                    ",2008,Auto,"$14,476",89.7 kW (120 bhp),3,Hatchback,"Category
COE Car "
439,Toyota Vellfire 2.5A Z A-Edition,info.php?ID=952545&DL=3382,"$99,998 ","                                $15,180 /yrView models with similar depre ",23-Mar-2016(5yrs 3mths 6days COE left)                            ,"                                        77,980 km (16.5k /yr)                                     ","                                    	$1,792 /yr","$46,970","2,493 cc                                    ","                                    2,000 kg                                    ",2015,Auto,"$34,374",134.0 kW (179 bhp),1,MPV,"Category
PARF Car "
440,Suzuki Swift Sport 1.6A (New 10-yr COE),info.php?ID=944884&DL=3004,"$58,800 ","                                $5,880 /yr                            ",24-Nov-2010(10yrs  COE left)                            ,"                                        110,000 km (10.9k /yr)                                     ",                                    	$736 /yr,N.A.,"1,586 cc                                    ","                                    1,100 kg                                    ",2010,Auto,"$16,367",92.0 kW (123 bhp),3,Hatchback,"Category
COE Car "
441,Honda Vezel 1.5A X Honda Sensing,info.php?ID=944013&DL=1418,"$69,800 ","                                $8,810 /yrView models with similar depre ",14-Mar-2018(7yrs 2mths 26days COE left)                            ,"                                        27,000 km (9.8k /yr)                                     ",                                    	$682 /yr,"$41,400","1,496 cc                                    ","                                    1,190 kg                                    ",2016,Auto,"$21,432",96.0 kW (128 bhp),1,SUV,"Category
PARF Car, Low Mileage Car "
442,Volkswagen Passat 1.8A TSI Highline,info.php?ID=940623&DL=1418,"$92,800 ","                                $10,490 /yrView models with similar depre ",15-Jan-2018(7yrs 29days COE left)                            ,"                                        46,000 km (15.8k /yr)                                     ",                                    	$976 /yr,"$45,289","1,798 cc                                    ","                                    1,480 kg                                    ",2017,Auto,"$32,116",132.0 kW (177 bhp),2,Luxury Sedan,"Category
PARF Car "
